Model,Run,FID,IS
dcgan,0,141.2316131591797,1.7998733520507812
dcgan,1,117.56951141357422,2.1398820877075195
dcgan,2,137.74771118164062,1.7372816801071167
dcgan,3,283.6436462402344,1.416375756263733
dcgan,4,97.18433380126953,2.1949844360351562
dcgan,5,109.22344970703125,2.038994312286377
dcgan,6,243.74803161621094,1.5406540632247925
dcgan,7,434.2255859375,1.1170743703842163
dcgan,8,109.36370086669922,2.07934308052063
dcgan,9,172.7574920654297,1.6783123016357422
dcgan,10,167.0999298095703,1.602754831314087
dcgan,11,298.669921875,1.5507605075836182
dcgan,12,127.67619323730469,1.8774559497833252
dcgan,13,117.62803649902344,1.968516230583191
dcgan,14,217.54595947265625,1.6065502166748047
dcgan,15,335.3173828125,1.4899448156356812
dcgan,16,112.74271392822266,2.078123092651367
dcgan,17,376.2799987792969,1.384116530418396
dcgan,18,169.1010284423828,1.8157237768173218
dcgan,19,133.0209197998047,2.0023863315582275
dcgan,20,178.54029846191406,1.6547062397003174
dcgan,21,142.79296875,1.8224464654922485
dcgan,22,123.66497802734375,1.880949854850769
dcgan,23,321.2012634277344,1.4467054605484009
dcgan,24,124.9969482421875,1.866000771522522
dcgan,25,186.6057586669922,1.6082113981246948
dcgan,26,138.72079467773438,1.8599895238876343
dcgan,27,114.47332000732422,2.032548189163208
dcgan,28,373.1379089355469,1.2969976663589478
dcgan,29,133.67138671875,1.7234184741973877
dcgan,30,147.77723693847656,1.8337243795394897
dcgan,31,99.64252471923828,2.088127851486206
dcgan,32,219.34197998046875,1.663540244102478
dcgan,33,389.09722900390625,1.1369549036026
dcgan,34,140.21946716308594,1.816890001296997
dcgan,35,116.0884780883789,2.076108455657959
dcgan,36,181.5860595703125,1.6415141820907593
dcgan,37,192.29541015625,1.7454274892807007
dcgan,38,105.57860565185547,2.0985310077667236
dcgan,39,114.30299377441406,2.0694730281829834
dcgan,40,256.04931640625,1.5777357816696167
dcgan,41,441.086181640625,1.1417139768600464
dcgan,42,222.0753631591797,1.4835928678512573
dcgan,43,135.7182159423828,1.7393392324447632
dcgan,44,133.35572814941406,1.7903679609298706
